group,schema,class,fragment_type,fragment,type_variation,identifier,source_type,translated_target_type,translated,attempted,timestamp,feedback
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,field,29-29:FIRST_ESC_CHAR,types,char,char,Rune,True,True,2026-05-13 16:31:01,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,field,30-30:SECOND_ESC_CHAR,types,char,char,Rune,True,True,2026-05-13 16:31:01,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,field,157-157:DISABLE,types,String,String,String,True,True,2026-05-13 16:31:01,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,field,159-159:detector,types,Callable<Boolean>,Callable<Boolean>,() -> Bool,True,True,2026-05-14 11:54:49,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,field,174-179:holder,types,InheritableThreadLocal<Boolean>,InheritableThreadLocal<Boolean>,Any,True,True,2026-05-14 11:54:51,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,field,373-373:builder,types,StringBuilder,StringBuilder,StringBuilder,True,True,2026-05-14 11:54:54,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,field,374-374:attributeOptions,types,ArrayList<Integer>,ArrayList<Integer>,ArrayList<Int64>,True,True,2026-05-14 11:54:56,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,161-164:setDetector,return_types,void,void,Unit,True,True,2026-05-13 16:31:36,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,161-164:setDetector,body_types,IllegalArgumentException,IllegalArgumentException,IllegalArgumentException,True,True,2026-05-14 11:55:05,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,161-164:setDetector,parameters,final|Callable<Boolean>|detector,Callable<Boolean>,() -> Bool,True,True,2026-05-14 11:55:02,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,166-172:isDetected,return_types,boolean,boolean,Bool,True,True,2026-05-13 16:31:51,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,166-172:isDetected,body_types,Exception,Exception,Exception,True,True,2026-05-14 11:55:07,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,181-183:setEnabled,return_types,void,void,Unit,True,True,2026-05-13 16:32:00,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,181-183:setEnabled,parameters,final|boolean|flag,boolean,Bool,True,True,2026-05-13 16:32:00,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,185-187:isEnabled,return_types,boolean,boolean,Bool,True,True,2026-05-13 16:32:00,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,189-195:ansi,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:00,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,189-195:ansi,body_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:00,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,189-195:ansi,body_types,Ansi_NoAnsi,Ansi_NoAnsi,Ansi_NoAnsi,True,True,2026-05-13 16:32:00,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,197-203:ansi,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:00,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,197-203:ansi,body_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:07,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,197-203:ansi,body_types,Ansi_NoAnsi,Ansi_NoAnsi,Ansi_NoAnsi,True,True,2026-05-13 16:32:07,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,197-203:ansi,parameters,|StringBuilder|builder,StringBuilder,StringBuilder,True,True,2026-05-14 11:55:09,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,205-211:ansi,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:08,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,205-211:ansi,body_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:08,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,205-211:ansi,body_types,Ansi_NoAnsi,Ansi_NoAnsi,Ansi_NoAnsi,True,True,2026-05-13 16:32:08,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,205-211:ansi,parameters,|int|size,int,Int64,True,True,2026-05-13 16:32:08,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,376-378:Ansi,body_types,StringBuilder,StringBuilder,StringBuilder,True,True,2026-05-14 11:55:12,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,380-383:Ansi,body_types,StringBuilder,StringBuilder,StringBuilder,True,True,2026-05-14 11:55:14,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,380-383:Ansi,parameters,|Ansi|parent,Ansi,Ansi,True,True,2026-05-13 16:32:15,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,385-387:Ansi,body_types,StringBuilder,StringBuilder,StringBuilder,True,True,2026-05-14 11:55:17,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,385-387:Ansi,parameters,|int|size,int,Int64,True,True,2026-05-13 16:32:24,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,389-391:Ansi,parameters,|StringBuilder|builder,StringBuilder,StringBuilder,True,True,2026-05-14 11:55:19,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,393-396:fg,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,393-396:fg,parameters,|Color|color,Color,Color,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,398-403:fg,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,398-403:fg,parameters,|int|color,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,405-407:fgRgb,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,405-407:fgRgb,parameters,|int|color,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,409-416:fgRgb,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,409-416:fgRgb,parameters,|int|r,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,409-416:fgRgb,parameters,|int|g,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,409-416:fgRgb,parameters,|int|b,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,418-420:fgBlack,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,422-424:fgBlue,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,426-428:fgCyan,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,430-432:fgDefault,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,434-436:fgGreen,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,438-440:fgMagenta,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,442-444:fgRed,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,446-448:fgYellow,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,450-453:bg,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,450-453:bg,parameters,|Color|color,Color,Color,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,455-460:bg,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,455-460:bg,parameters,|int|color,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,462-464:bgRgb,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,462-464:bgRgb,parameters,|int|color,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,466-473:bgRgb,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,466-473:bgRgb,parameters,|int|r,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,466-473:bgRgb,parameters,|int|g,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,466-473:bgRgb,parameters,|int|b,int,Int64,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,475-477:bgCyan,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,479-481:bgDefault,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,483-485:bgGreen,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,487-489:bgMagenta,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,491-493:bgRed,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,495-497:bgYellow,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,499-502:fgBright,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,499-502:fgBright,parameters,|Color|color,Color,Color,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,504-506:fgBrightBlack,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,508-510:fgBrightBlue,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,512-514:fgBrightCyan,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,516-518:fgBrightDefault,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,520-522:fgBrightGreen,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
